activity_degree;ethnicity;date;geography;geography_type;gender;age;value;sample_size
active;All;Nov 2021 to Nov 2022;East;Region;All;16+;63.1;22533
active;All;Nov 2020 to Nov 2021;East;Region;All;16+;602.087.339;22502
active;All;Nov 2015 to Nov 2016;East;Region;All;16+;61.1;26006
active;All;Nov 2016 to Nov 2017;East;Region;All;16+;62;25806
active;All;Nov 2017 to Nov 2018;East;Region;All;16+;61.2;23735
active;All;Nov 2018 to Nov 2019;East;Region;All;16+;62.6;23767
active;All;Nov 2019 to Nov 2020;East;Region;All;16+;61.5;22797
active;All;Nov 2021 to Nov 2022;East Midlands;Region;All;16+;61.1;19268
active;All;Nov 2020 to Nov 2021;East Midlands;Region;All;16+;592.948.377;21550
active;All;Nov 2015 to Nov 2016;East Midlands;Region;All;16+;61.3;22543
active;All;Nov 2016 to Nov 2017;East Midlands;Region;All;16+;60.2;22176
active;All;Nov 2017 to Nov 2018;East Midlands;Region;All;16+;61.3;21557
active;All;Nov 2018 to Nov 2019;East Midlands;Region;All;16+;61.4;21290
active;All;Nov 2019 to Nov 2020;East Midlands;Region;All;16+;60.2;21242
active;All;Nov 2021 to Nov 2022;England;Country;All;16+;63.1;177551
active;All;Nov 2020 to Nov 2021;England;Country;All;16+;613.572.569;177273
active;All;Nov 2015 to Nov 2016;England;Country;All;16+;62.1;198911
active;All;Nov 2016 to Nov 2017;England;Country;All;16+;61.8;196635
active;All;Nov 2017 to Nov 2018;England;Country;All;16+;62.7;179747
active;All;Nov 2018 to Nov 2019;England;Country;All;16+;63.3;181535
active;All;Nov 2019 to Nov 2020;England;Country;All;16+;61.4;177735
active;All;Nov 2021 to Nov 2022;England;Country;All;16-24;72.8;11027
active;All;Nov 2020 to Nov 2021;England;Country;All;16-24;685.688.596;11143
active;All;Nov 2016 to Nov 2017;England;Country;All;16-24;74.9;12688
active;All;Nov 2017 to Nov 2018;England;Country;All;16-24;75.7;10941
active;All;Nov 2018 to Nov 2019;England;Country;All;16-24;74.1;11329
active;All;Nov 2019 to Nov 2020;England;Country;All;16-24;70.1;11924
active;All;Nov 2015 to Nov 2016;England;Country;All;16-24;76.4;13145
active;All;Nov 2021 to Nov 2022;England;Country;All;16-74;72.6;86992
active;All;Nov 2020 to Nov 2021;England;Country;All;16-74;712.031.141;85596
active;All;Nov 2015 to Nov 2016;England;Country;All;16-74;71;95199
active;All;Nov 2016 to Nov 2017;England;Country;All;16-74;71;95352
active;All;Nov 2017 to Nov 2018;England;Country;All;16-74;71.7;87913
active;All;Nov 2018 to Nov 2019;England;Country;All;16-74;72;89414
active;All;Nov 2019 to Nov 2020;England;Country;All;16-74;71;85907
active;All;Nov 2021 to Nov 2022;England;Country;All;16-74;62.2;37420
active;All;Nov 2020 to Nov 2021;England;Country;All;16-74;607.777.334;38522
active;All;Nov 2015 to Nov 2016;England;Country;All;16-74;61.6;45047
active;All;Nov 2016 to Nov 2017;England;Country;All;16-74;61.4;45857
active;All;Nov 2017 to Nov 2018;England;Country;All;16-74;62.8;41467
active;All;Nov 2018 to Nov 2019;England;Country;All;16-74;62.6;41050
active;All;Nov 2019 to Nov 2020;England;Country;All;16-74;61.4;39950
active;All;Nov 2021 to Nov 2022;England;Country;All;16-74;55.2;16039
active;All;Nov 2020 to Nov 2021;England;Country;All;16-74;540.919.337;16560
active;All;Nov 2015 to Nov 2016;England;Country;All;16-74;55.9;18761
active;All;Nov 2016 to Nov 2017;England;Country;All;16-74;55.4;18995
active;All;Nov 2017 to Nov 2018;England;Country;All;16-74;55.5;16679
active;All;Nov 2018 to Nov 2019;England;Country;All;16-74;55.6;16627
active;All;Nov 2019 to Nov 2020;England;Country;All;16-74;54.2;16408
active;All;Nov 2021 to Nov 2022;England;Country;All;16-74;44.9;4027
active;All;Nov 2020 to Nov 2021;England;Country;All;16-74;467.792.285;4328
active;All;Nov 2015 to Nov 2016;England;Country;All;16-74;50.8;4003
active;All;Nov 2016 to Nov 2017;England;Country;All;16-74;48.6;4095
active;All;Nov 2017 to Nov 2018;England;Country;All;16-74;49.1;3433
active;All;Nov 2018 to Nov 2019;England;Country;All;16-74;48;3599
active;All;Nov 2019 to Nov 2020;England;Country;All;16-74;43.3;3662
active;All;Nov 2021 to Nov 2022;England;Country;All;16-74;68.1;12740
active;All;Nov 2020 to Nov 2021;England;Country;All;16-74;642.226.807;12763
active;All;Nov 2015 to Nov 2016;England;Country;All;16-74;71.7;14783
active;All;Nov 2016 to Nov 2017;England;Country;All;16-74;69.9;13030
active;All;Nov 2017 to Nov 2018;England;Country;All;16-74;70.9;12432
active;All;Nov 2018 to Nov 2019;England;Country;All;16-74;71.3;11878
active;All;Nov 2019 to Nov 2020;England;Country;All;16-74;65;13516
active;All;Nov 2021 to Nov 2022;England;Country;All;25-34;67;23549
active;All;Nov 2020 to Nov 2021;England;Country;All;25-34;64.891.253;22800
active;All;Nov 2016 to Nov 2017;England;Country;All;25-34;67.1;24414
active;All;Nov 2017 to Nov 2018;England;Country;All;25-34;68.8;22519
active;All;Nov 2018 to Nov 2019;England;Country;All;25-34;67.1;23335
active;All;Nov 2019 to Nov 2020;England;Country;All;25-34;65.7;23606
active;All;Nov 2015 to Nov 2016;England;Country;All;25-34;68.6;24481
active;All;Nov 2021 to Nov 2022;England;Country;All;35-44;65.3;27421
active;All;Nov 2020 to Nov 2021;England;Country;All;35-44;641.230.891;26861
active;All;Nov 2016 to Nov 2017;England;Country;All;35-44;66.1;30799
active;All;Nov 2017 to Nov 2018;England;Country;All;35-44;66.8;27709
active;All;Nov 2018 to Nov 2019;England;Country;All;35-44;65.8;28286
active;All;Nov 2019 to Nov 2020;England;Country;All;35-44;64.3;26921
active;All;Nov 2015 to Nov 2016;England;Country;All;35-44;66.6;30895
active;All;Nov 2021 to Nov 2022;England;Country;All;45-54;66.5;28069
active;All;Nov 2020 to Nov 2021;England;Country;All;45-54;65.168.917;29145
active;All;Nov 2016 to Nov 2017;England;Country;All;45-54;65.1;33400
active;All;Nov 2017 to Nov 2018;England;Country;All;45-54;65.5;30732
active;All;Nov 2018 to Nov 2019;England;Country;All;45-54;66.3;30982
active;All;Nov 2019 to Nov 2020;England;Country;All;45-54;65.5;29528
active;All;Nov 2015 to Nov 2016;England;Country;All;45-54;64.9;34273
active;All;Nov 2021 to Nov 2022;England;Country;All;55-64;63;33487
active;All;Nov 2020 to Nov 2021;England;Country;All;55-64;615.249.785;33895
active;All;Nov 2016 to Nov 2017;England;Country;All;55-64;59.8;37130
active;All;Nov 2017 to Nov 2018;England;Country;All;55-64;60.7;34267
active;All;Nov 2018 to Nov 2019;England;Country;All;55-64;62.1;34745
active;All;Nov 2019 to Nov 2020;England;Country;All;55-64;61.8;33984
active;All;Nov 2015 to Nov 2016;England;Country;All;55-64;58.6;37699
active;All;Nov 2021 to Nov 2022;England;Country;All;65-74;60.7;32482
active;All;Nov 2020 to Nov 2021;England;Country;All;65-74;600.854.463;32985
active;All;Nov 2016 to Nov 2017;England;Country;All;65-74;56.6;37073
active;All;Nov 2017 to Nov 2018;England;Country;All;65-74;57.5;34373
active;All;Nov 2018 to Nov 2019;England;Country;All;65-74;59.8;33552
active;All;Nov 2019 to Nov 2020;England;Country;All;65-74;57.3;32426
active;All;Nov 2015 to Nov 2016;England;Country;All;65-74;55.1;37300
active;All;Nov 2021 to Nov 2022;England;Country;All;75+;41.2;20333
active;All;Nov 2020 to Nov 2021;England;Country;All;75+;393.248.338;19504
active;All;Nov 2015 to Nov 2016;England;Country;All;75+;33.4;19429
active;All;Nov 2016 to Nov 2017;England;Country;All;75+;33.5;19306
active;All;Nov 2017 to Nov 2018;England;Country;All;75+;35.4;17823
active;All;Nov 2018 to Nov 2019;England;Country;All;75+;40.5;17715
active;All;Nov 2019 to Nov 2020;England;Country;All;75+;37.6;17758
active;All;Nov 2021 to Nov 2022;England;Country;Female;16+;60.8;98341
active;All;Nov 2020 to Nov 2021;England;Country;Female;16+;598.043.908;97882
active;All;Nov 2015 to Nov 2016;England;Country;Female;16+;59.9;110847
active;All;Nov 2016 to Nov 2017;England;Country;Female;16+;59.7;109741
active;All;Nov 2017 to Nov 2018;England;Country;Female;16+;60.8;99916
active;All;Nov 2018 to Nov 2019;England;Country;Female;16+;61.5;100647
active;All;Nov 2019 to Nov 2020;England;Country;Female;16+;60.1;97869
active;All;Nov 2021 to Nov 2022;England;Country;Male;16+;65.6;78112
active;All;Nov 2020 to Nov 2021;England;Country;Male;16+;631.443.078;78484
active;All;Nov 2015 to Nov 2016;England;Country;Male;16+;64.5;87607
active;All;Nov 2016 to Nov 2017;England;Country;Male;16+;64.2;86635
active;All;Nov 2017 to Nov 2018;England;Country;Male;16+;64.8;79451
active;All;Nov 2018 to Nov 2019;England;Country;Male;16+;65.3;80135
active;All;Nov 2019 to Nov 2020;England;Country;Male;16+;63;78967
active;All;Nov 2020 to Nov 2021;England;Country;Other Gender;16+;587.147.483;594
active;All;Nov 2015 to Nov 2016;England;Country;Other Gender;16+;?;?
active;All;Nov 2016 to Nov 2017;England;Country;Other Gender;16+;?;?
active;All;Nov 2017 to Nov 2018;England;Country;Other Gender;16+;53.4;107
active;All;Nov 2018 to Nov 2019;England;Country;Other Gender;16+;46.7;442
active;All;Nov 2019 to Nov 2020;England;Country;Other Gender;16+;48.5;449
active;All;Nov 2021 to Nov 2022;England;Country;Other gender;16+;59.5;841
active;All;Nov 2021 to Nov 2022;London;Region;All;16+;64.2;16382
active;All;Nov 2020 to Nov 2021;London;Region;All;16+;623.823.049;16340
active;All;Nov 2015 to Nov 2016;London;Region;All;16+;63.5;19887
active;All;Nov 2016 to Nov 2017;London;Region;All;16+;62.3;19497
active;All;Nov 2017 to Nov 2018;London;Region;All;16+;64.6;16200
active;All;Nov 2018 to Nov 2019;London;Region;All;16+;64.5;16148
active;All;Nov 2019 to Nov 2020;London;Region;All;16+;62.3;16364
active;All;Nov 2021 to Nov 2022;North East;Region;All;16+;60.9;7560
active;All;Nov 2020 to Nov 2021;North East;Region;All;16+;587.391.734;7595
active;All;Nov 2015 to Nov 2016;North East;Region;All;16+;60.2;9046
active;All;Nov 2016 to Nov 2017;North East;Region;All;16+;60.1;8958
active;All;Nov 2017 to Nov 2018;North East;Region;All;16+;59.7;7241
active;All;Nov 2018 to Nov 2019;North East;Region;All;16+;60.7;7535
active;All;Nov 2019 to Nov 2020;North East;Region;All;16+;60;7500
active;All;Nov 2021 to Nov 2022;North West;Region;All;16+;61.3;27111
active;All;Nov 2020 to Nov 2021;North West;Region;All;16+;601.147.875;26991
active;All;Nov 2015 to Nov 2016;North West;Region;All;16+;60.7;28223
active;All;Nov 2016 to Nov 2017;North West;Region;All;16+;61.4;27560
active;All;Nov 2017 to Nov 2018;North West;Region;All;16+;61.2;27031
active;All;Nov 2018 to Nov 2019;North West;Region;All;16+;62.3;26908
active;All;Nov 2019 to Nov 2020;North West;Region;All;16+;59;26961
active;All;Nov 2021 to Nov 2022;South East;Region;All;16+;66.5;32283
active;All;Nov 2020 to Nov 2021;South East;Region;All;16+;644.478.788;32024
active;All;Nov 2015 to Nov 2016;South East;Region;All;16+;64.4;36302
active;All;Nov 2016 to Nov 2017;South East;Region;All;16+;64.5;36345
active;All;Nov 2017 to Nov 2018;South East;Region;All;16+;66;33665
active;All;Nov 2018 to Nov 2019;South East;Region;All;16+;65.9;33262
active;All;Nov 2019 to Nov 2020;South East;Region;All;16+;64.4;33679
active;All;Nov 2021 to Nov 2022;South West;Region;All;16+;67.1;16366
active;All;Nov 2020 to Nov 2021;South West;Region;All;16+;653.452.424;16204
active;All;Nov 2015 to Nov 2016;South West;Region;All;16+;65.3;22405
active;All;Nov 2016 to Nov 2017;South West;Region;All;16+;65.2;22349
active;All;Nov 2017 to Nov 2018;South West;Region;All;16+;66.7;19846
active;All;Nov 2018 to Nov 2019;South West;Region;All;16+;67.4;19541
active;All;Nov 2019 to Nov 2020;South West;Region;All;16+;65.7;15906
active;All;Nov 2021 to Nov 2022;West Midlands;Region;All;16+;58;19066
active;All;Nov 2020 to Nov 2021;West Midlands;Region;All;16+;578.288.961;17022
active;All;Nov 2015 to Nov 2016;West Midlands;Region;All;16+;58.7;19341
active;All;Nov 2016 to Nov 2017;West Midlands;Region;All;16+;57.6;19092
active;All;Nov 2017 to Nov 2018;West Midlands;Region;All;16+;58.8;16561
active;All;Nov 2018 to Nov 2019;West Midlands;Region;All;16+;58.7;16268
active;All;Nov 2019 to Nov 2020;West Midlands;Region;All;16+;57;16328
active;All;Nov 2020 to Nov 2021;Yorkshire And The Humber;Region;All;16+;602.649.007;17045
active;All;Nov 2015 to Nov 2016;Yorkshire And The Humber;Region;All;16+;60.8;15158
active;All;Nov 2016 to Nov 2017;Yorkshire And The Humber;Region;All;16+;60.2;14852
active;All;Nov 2017 to Nov 2018;Yorkshire And The Humber;Region;All;16+;60.7;13911
active;All;Nov 2018 to Nov 2019;Yorkshire And The Humber;Region;All;16+;62.5;16816
active;All;Nov 2019 to Nov 2020;Yorkshire And The Humber;Region;All;16+;59.8;16958
active;All;Nov 2021 to Nov 2022;Yorkshire and the Humber;Region;All;16+;62;16982
active;Asian;Nov 2021 to Nov 2022;East;Region;All;16+;55.9;850
active;Asian;Nov 2020 to Nov 2021;East;Region;All;16+;508.908.851;829
active;Asian;Nov 2015 to Nov 2016;East;Region;All;16+;56.5;749
active;Asian;Nov 2016 to Nov 2017;East;Region;All;16+;61.2;761
active;Asian;Nov 2017 to Nov 2018;East;Region;All;16+;49.5;660
active;Asian;Nov 2018 to Nov 2019;East;Region;All;16+;56.7;699
active;Asian;Nov 2019 to Nov 2020;East;Region;All;16+;50.4;711
active;Asian;Nov 2021 to Nov 2022;East Midlands;Region;All;16+;51;829
active;Asian;Nov 2020 to Nov 2021;East Midlands;Region;All;16+;500.938.297;790
active;Asian;Nov 2015 to Nov 2016;East Midlands;Region;All;16+;57.3;828
active;Asian;Nov 2016 to Nov 2017;East Midlands;Region;All;16+;55.2;872
active;Asian;Nov 2017 to Nov 2018;East Midlands;Region;All;16+;58.1;663
active;Asian;Nov 2018 to Nov 2019;East Midlands;Region;All;16+;54.8;701
active;Asian;Nov 2019 to Nov 2020;East Midlands;Region;All;16+;53.1;738
active;Asian;Nov 2021 to Nov 2022;England;Country;All;16+;55;9067
active;Asian;Nov 2020 to Nov 2021;England;Country;All;16+;504.491.391;8201
active;Asian;Nov 2015 to Nov 2016;England;Country;All;16+;55.6;7984
active;Asian;Nov 2016 to Nov 2017;England;Country;All;16+;54;8240
active;Asian;Nov 2017 to Nov 2018;England;Country;All;16+;56.3;6719
active;Asian;Nov 2018 to Nov 2019;England;Country;All;16+;53.9;7304
active;Asian;Nov 2019 to Nov 2020;England;Country;All;16+;49.5;7824
active;Asian;Nov 2021 to Nov 2022;England;Country;All;16-24;64;1283
active;Asian;Nov 2020 to Nov 2021;England;Country;All;16-24;560.902.432;1085
active;Asian;Nov 2015 to Nov 2016;England;Country;All;16-24;65.8;1212
active;Asian;Nov 2016 to Nov 2017;England;Country;All;16-24;64.7;1155
active;Asian;Nov 2017 to Nov 2018;England;Country;All;16-24;67.3;892
active;Asian;Nov 2018 to Nov 2019;England;Country;All;16-24;64.4;1059
active;Asian;Nov 2019 to Nov 2020;England;Country;All;16-24;55.2;1165
active;Asian;Nov 2021 to Nov 2022;England;Country;All;16-74;59.7;4697
active;Asian;Nov 2020 to Nov 2021;England;Country;All;16-74;582.232.398;4104
active;Asian;Nov 2015 to Nov 2016;England;Country;All;16-74;59.2;3782
active;Asian;Nov 2016 to Nov 2017;England;Country;All;16-74;58.6;3866
active;Asian;Nov 2017 to Nov 2018;England;Country;All;16-74;60.8;3229
active;Asian;Nov 2018 to Nov 2019;England;Country;All;16-74;59.1;3630
active;Asian;Nov 2019 to Nov 2020;England;Country;All;16-74;57.6;3813
active;Asian;Nov 2021 to Nov 2022;England;Country;All;16-74;51.6;1460
active;Asian;Nov 2020 to Nov 2021;England;Country;All;16-74;481.292.819;1375
active;Asian;Nov 2015 to Nov 2016;England;Country;All;16-74;53.1;1421
active;Asian;Nov 2016 to Nov 2017;England;Country;All;16-74;50.1;1484
active;Asian;Nov 2017 to Nov 2018;England;Country;All;16-74;54.3;1247
active;Asian;Nov 2018 to Nov 2019;England;Country;All;16-74;47.1;1241
active;Asian;Nov 2019 to Nov 2020;England;Country;All;16-74;46.1;1427
active;Asian;Nov 2021 to Nov 2022;England;Country;All;16-74;47;861
active;Asian;Nov 2020 to Nov 2021;England;Country;All;16-74;413.144.547;853
active;Asian;Nov 2015 to Nov 2016;England;Country;All;16-74;47.9;776
active;Asian;Nov 2016 to Nov 2017;England;Country;All;16-74;49.1;846
active;Asian;Nov 2017 to Nov 2018;England;Country;All;16-74;48.1;693
active;Asian;Nov 2018 to Nov 2019;England;Country;All;16-74;47.2;700
active;Asian;Nov 2019 to Nov 2020;England;Country;All;16-74;39.2;741
active;Asian;Nov 2021 to Nov 2022;England;Country;All;16-74;41.7;594
active;Asian;Nov 2020 to Nov 2021;England;Country;All;16-74;405.698.784;555
active;Asian;Nov 2015 to Nov 2016;England;Country;All;16-74;45.3;546
active;Asian;Nov 2016 to Nov 2017;England;Country;All;16-74;43.1;570
active;Asian;Nov 2017 to Nov 2018;England;Country;All;16-74;43.3;429
active;Asian;Nov 2018 to Nov 2019;England;Country;All;16-74;42;508
active;Asian;Nov 2019 to Nov 2020;England;Country;All;16-74;35.6;477
active;Asian;Nov 2021 to Nov 2022;England;Country;All;16-74;62.4;1225
active;Asian;Nov 2020 to Nov 2021;England;Country;All;16-74;52.452.642;1085
active;Asian;Nov 2015 to Nov 2016;England;Country;All;16-74;64.4;1186
active;Asian;Nov 2016 to Nov 2017;England;Country;All;16-74;60.7;1223
active;Asian;Nov 2017 to Nov 2018;England;Country;All;16-74;64.5;907
active;Asian;Nov 2018 to Nov 2019;England;Country;All;16-74;62.6;1000
active;Asian;Nov 2019 to Nov 2020;England;Country;All;16-74;53.4;1127
active;Asian;Nov 2021 to Nov 2022;England;Country;All;25-34;55.8;1903
active;Asian;Nov 2020 to Nov 2021;England;Country;All;25-34;502.789.071;1737
active;Asian;Nov 2015 to Nov 2016;England;Country;All;25-34;55.8;1800
active;Asian;Nov 2016 to Nov 2017;England;Country;All;25-34;53;1792
active;Asian;Nov 2017 to Nov 2018;England;Country;All;25-34;54.2;1462
active;Asian;Nov 2018 to Nov 2019;England;Country;All;25-34;51.3;1543
active;Asian;Nov 2019 to Nov 2020;England;Country;All;25-34;46.9;1720
active;Asian;Nov 2021 to Nov 2022;England;Country;All;35-44;52.7;2643
active;Asian;Nov 2020 to Nov 2021;England;Country;All;35-44;498.953.869;2378
active;Asian;Nov 2015 to Nov 2016;England;Country;All;35-44;51.5;2378
active;Asian;Nov 2016 to Nov 2017;England;Country;All;35-44;51.7;2506
active;Asian;Nov 2017 to Nov 2018;England;Country;All;35-44;57.7;1936
active;Asian;Nov 2018 to Nov 2019;England;Country;All;35-44;50.8;2227
active;Asian;Nov 2019 to Nov 2020;England;Country;All;35-44;49;2177
active;Asian;Nov 2021 to Nov 2022;England;Country;All;45-54;50.4;1630
active;Asian;Nov 2020 to Nov 2021;England;Country;All;45-54;498.650.699;1531
active;Asian;Nov 2015 to Nov 2016;England;Country;All;45-54;54.3;1185
active;Asian;Nov 2016 to Nov 2017;England;Country;All;45-54;49.3;1232
active;Asian;Nov 2017 to Nov 2018;England;Country;All;45-54;50.3;1149
active;Asian;Nov 2018 to Nov 2019;England;Country;All;45-54;51;1224
active;Asian;Nov 2019 to Nov 2020;England;Country;All;45-54;48.1;1340
active;Asian;Nov 2021 to Nov 2022;England;Country;All;55-64;51.2;782
active;Asian;Nov 2020 to Nov 2021;England;Country;All;55-64;473.536.227;736
active;Asian;Nov 2015 to Nov 2016;England;Country;All;55-64;50;681
active;Asian;Nov 2016 to Nov 2017;England;Country;All;55-64;49.4;778
active;Asian;Nov 2017 to Nov 2018;England;Country;All;55-64;47.2;580
active;Asian;Nov 2018 to Nov 2019;England;Country;All;55-64;48.8;614
active;Asian;Nov 2019 to Nov 2020;England;Country;All;55-64;49;694
active;Asian;Nov 2021 to Nov 2022;England;Country;All;65-74;47.8;562
active;Asian;Nov 2020 to Nov 2021;England;Country;All;65-74;437.779.522;476
active;Asian;Nov 2015 to Nov 2016;England;Country;All;65-74;38.5;455
active;Asian;Nov 2016 to Nov 2017;England;Country;All;65-74;44.4;475
active;Asian;Nov 2017 to Nov 2018;England;Country;All;65-74;42.6;444
active;Asian;Nov 2018 to Nov 2019;England;Country;All;65-74;50;406
active;Asian;Nov 2019 to Nov 2020;England;Country;All;65-74;49.3;458
active;Asian;Nov 2021 to Nov 2022;England;Country;All;75+;34.7;230
active;Asian;Nov 2020 to Nov 2021;England;Country;All;75+;317.350.472;229
active;Asian;Nov 2015 to Nov 2016;England;Country;All;75+;35.7;219
active;Asian;Nov 2016 to Nov 2017;England;Country;All;75+;35;251
active;Asian;Nov 2017 to Nov 2018;England;Country;All;75+;36.6;214
active;Asian;Nov 2018 to Nov 2019;England;Country;All;75+;34.4;199
active;Asian;Nov 2019 to Nov 2020;England;Country;All;75+;35.5;225
active;Asian;Nov 2021 to Nov 2022;England;Country;Female;16+;49.7;4761
active;Asian;Nov 2020 to Nov 2021;England;Country;Female;16+;46.609.338;4247
active;Asian;Nov 2015 to Nov 2016;England;Country;Female;16+;50.1;4183
active;Asian;Nov 2016 to Nov 2017;England;Country;Female;16+;48.7;4284
active;Asian;Nov 2017 to Nov 2018;England;Country;Female;16+;51.3;3536
active;Asian;Nov 2018 to Nov 2019;England;Country;Female;16+;49.1;3853
active;Asian;Nov 2019 to Nov 2020;England;Country;Female;16+;46.2;4016
active;Asian;Nov 2021 to Nov 2022;England;Country;Male;16+;59.6;4259
active;Asian;Nov 2020 to Nov 2021;England;Country;Male;16+;535.993.594;3922
active;Asian;Nov 2015 to Nov 2016;England;Country;Male;16+;60.3;3787
active;Asian;Nov 2016 to Nov 2017;England;Country;Male;16+;58.3;3945
active;Asian;Nov 2017 to Nov 2018;England;Country;Male;16+;60.4;3177
active;Asian;Nov 2018 to Nov 2019;England;Country;Male;16+;57.9;3418
active;Asian;Nov 2019 to Nov 2020;England;Country;Male;16+;51.9;3780
active;Asian;Nov 2020 to Nov 2021;England;Country;Other Gender;16+;?;?
active;Asian;Nov 2015 to Nov 2016;England;Country;Other Gender;16+;?;?
active;Asian;Nov 2016 to Nov 2017;England;Country;Other Gender;16+;?;?
active;Asian;Nov 2017 to Nov 2018;England;Country;Other Gender;16+;?;?
active;Asian;Nov 2018 to Nov 2019;England;Country;Other Gender;16+;?;?
active;Asian;Nov 2019 to Nov 2020;England;Country;Other Gender;16+;?;?
active;Asian;Nov 2021 to Nov 2022;England;Country;Other gender;16+;?;?
active;Asian;Nov 2021 to Nov 2022;London;Region;All;16+;57.7;2337
active;Asian;Nov 2020 to Nov 2021;London;Region;All;16+;531.767.718;2283
active;Asian;Nov 2015 to Nov 2016;London;Region;All;16+;54.7;2365
active;Asian;Nov 2016 to Nov 2017;London;Region;All;16+;53.7;2363
active;Asian;Nov 2017 to Nov 2018;London;Region;All;16+;57.9;1816
active;Asian;Nov 2018 to Nov 2019;London;Region;All;16+;53.8;1962
active;Asian;Nov 2019 to Nov 2020;London;Region;All;16+;51.1;2232
active;Asian;Nov 2021 to Nov 2022;North East;Region;All;16+;61.3;221
active;Asian;Nov 2020 to Nov 2021;North East;Region;All;16+;488.718.182;218
active;Asian;Nov 2015 to Nov 2016;North East;Region;All;16+;58.3;152
active;Asian;Nov 2016 to Nov 2017;North East;Region;All;16+;58.9;135
active;Asian;Nov 2017 to Nov 2018;North East;Region;All;16+;46.5;147
active;Asian;Nov 2018 to Nov 2019;North East;Region;All;16+;52.3;168
active;Asian;Nov 2019 to Nov 2020;North East;Region;All;16+;62.8;163
active;Asian;Nov 2021 to Nov 2022;North West;Region;All;16+;48.3;1397
active;Asian;Nov 2020 to Nov 2021;North West;Region;All;16+;474.188.646;1230
